Wavelength (nm),Absorbance (AU),Std.Dev.
259,-0.375501155853271,0.331433285083043
260,-0.375948429107666,0.37825128637525
261,-0.134824752807617,0.341495402761768
262,-0.848780632019043,0.621056897491587
263,-0.429364204406738,0.329667597888625
264,-0.0719685554504395,0.111285285068834
265,0.0386257171630859,0.0869099476729597
266,0.0350685119628906,0.119198644300086
267,0.18459415435791,0.201418235072999
268,0.171652793884277,0.300012969690348
269,0.303360939025879,0.239801280085541
270,0.0321846008300781,0.162684878304366
271,0.050168514251709,0.121545747911843
272,-0.0340151786804199,0.139839521802351
273,0.0480475425720215,0.257864282205018
274,-0.171951770782471,0.184350584320889
275,-0.0030980110168457,0.135808914579629
276,-0.0689940452575684,0.12818661580555
277,0.14912748336792,0.173773253277619
278,-0.0700502395629883,0.310344126031894
279,-0.167579650878906,0.243847480257496
280,0.067075252532959,0.45396608362093
281,0.682395458221436,0.733085636730969
282,0.249906063079834,0.355651137961899
283,-0.0829305648803711,0.201626458481434
284,0.128330707550049,0.262359290784484
285,-0.025390625,0.163296318271525
286,0.0985078811645508,0.190957301934515
287,0.0206904411315918,0.334509364431817
288,-0.102066040039062,0.20615879701085
289,0.0820455551147461,0.189034855610658
290,0.330223083496094,0.129209220193482
291,0.37525463104248,0.0847291085479314
292,0.245319843292236,0.0806876455197843
293,0.669994831085205,0.13526712621539
294,0.631748199462891,0.0730792458354286
295,0.585897922515869,0.044921875
296,0.608765125274658,0.0265080960700138
297,0.559427738189697,0.0216921383957258
298,0.601232051849365,0.0172948260657372
299,0.640915870666504,0.00930120511553105
300,0.588326454162598,0.00932340730764833
301,0.553354740142822,0.00833750064283652
302,0.567583084106445,0.00571681482894158
303,0.557058334350586,0.00406605931395177
304,0.538039684295654,0.00378448731187253
305,0.532233238220215,0.00405401646200892
306,0.521751880645752,0.00269623277682117
307,0.516314029693604,0.0033590136932538
308,0.510075569152832,0.00358370455031486
309,0.50604772567749,0.00207221995958641
310,0.491265296936035,0.00115936676932444
311,0.484995841979981,0.00129683998503008
312,0.480195999145508,0.000770417755723885
313,0.472969055175781,0.000550057652822142
314,0.463026523590088,0.000626795506792645
315,0.454842567443848,0.00041692913469852
316,0.448722839355469,0.000293533456469889
317,0.441670894622803,0.000416545029049
318,0.43358325958252,0.000431271729297633
319,0.426310539245606,0.000469757936048524
320,0.417631149291992,0.00051554896144413
321,0.410026550292969,0.000616932202756458
322,0.402315139770508,0.000523726121307203
323,0.39490270614624,0.000621444509385696
324,0.388727188110352,0.000545488370718978
325,0.381731033325195,0.000537601700472194
326,0.374334812164307,0.000486998064053568
327,0.367818832397461,0.000355473706320909
328,0.360518932342529,0.000300654052724735
329,0.355491638183594,0.000332683376873795
330,0.34733247756958,0.000377828384839306
331,0.342125415802002,0.000306917228666013
332,0.334079742431641,0.000292453212932815
333,0.328059196472168,0.000359837382302073
334,0.322611331939697,0.000425180482715283
335,0.316696166992187,0.000384064433021779
336,0.309956073760986,0.000286458112073582
337,0.30493688583374,0.000283932404570441
338,0.298257827758789,0.000324518428610288
339,0.293040752410889,0.000318869675070249
340,0.287840366363525,0.00034746217735481
341,0.283180236816406,0.000357646941630073
342,0.279334545135498,0.000417687576632212
343,0.273347854614258,0.000456362806052801
344,0.26958703994751,0.000273769317827443
345,0.266355514526367,0.000286851537661558
346,0.261192321777344,0.000504838829043109
347,0.256916522979736,0.000531845962858603
348,0.252490997314453,0.000387834851139005
349,0.248696327209473,0.000404159929283468
350,0.246434688568115,0.00047208323601081
351,0.243726253509521,0.000449244379266141
352,0.239333152770996,0.000266912980162593
353,0.236939430236816,0.000426137712640867
354,0.236055850982666,0.000505889842872228
355,0.233654022216797,0.000565013200093513
356,0.230967998504639,0.000648442434240434
357,0.226561069488525,0.000849367852794957
