Wavelength (nm),Absorbance (AU),Std.Dev.
405,0.131561756134033,0.000286762746805615
406,0.131572723388672,0.000299295760355905
407,0.131777286529541,0.000344338503918358
408,0.131982326507568,0.000402156668287459
409,0.132696628570557,0.000349143801130751
410,0.132297515869141,0.000274830340379002
411,0.13308048248291,0.000350910681887058
412,0.133546352386475,0.000302818252110988
413,0.133245944976807,0.00034395794918365
414,0.13322925567627,0.000268733171193244
415,0.133749008178711,0.000231831145247073
416,0.132981777191162,0.000178166169856342
417,0.133010864257812,0.000171724943471487
418,0.132607936859131,0.000273330446131483
419,0.132228851318359,0.000312479361210211
420,0.131351947784424,0.000253354490925908
421,0.130134105682373,0.000286667583227324
422,0.129313468933105,0.000265950341168191
423,0.127951622009277,0.000320633190904505
424,0.126388549804687,0.00037721164762368
425,0.124627113342285,0.000333317018452064
426,0.123462677001953,0.000371046722092486
427,0.121472835540771,0.000388846595947998
428,0.119829177856445,0.000298809159602667
429,0.118330955505371,0.000332097825219908
430,0.117086887359619,0.000345456591756239
431,0.114930629730225,0.000453989043190443
432,0.112960815429687,0.000386613498559181
433,0.110384941101074,0.000362416317032276
434,0.109580039978027,0.00029709978087583
435,0.107901573181152,0.000370703400927321
436,0.10617733001709,0.000320627517737947
437,0.103944301605225,0.000359361895161607
438,0.101779460906982,0.000310546582974591
439,0.0996837615966797,0.000293849327013559
440,0.0981149673461914,0.00036408882401525
441,0.096947193145752,0.000368162755306159
442,0.0956025123596191,0.000465830612868461
443,0.0942015647888184,0.000448036153248492
444,0.0925540924072266,0.000383334370981847
445,0.0915489196777344,0.000298949138441667
446,0.0908679962158203,0.000345898607987416
447,0.089533805847168,0.000312770283311404
448,0.0904250144958496,0.000288255851552011
449,0.0898828506469727,0.000388078660397583
450,0.0897440910339356,0.000410952858832752
451,0.0899925231933594,0.000351935543056174
452,0.0896096229553223,0.000217441926882484
453,0.0912165641784668,0.000277694502599391
454,0.0911736488342285,0.000347661053163588
455,0.0917892456054688,0.000350703275590857
456,0.0931377410888672,0.000268238596862308
457,0.0937271118164063,0.000250705723608624
458,0.0945324897766113,0.000282319814544733
459,0.0953531265258789,0.000456299028146536
460,0.0961084365844727,0.000486070875128066
461,0.0970678329467773,0.000348810210894657
462,0.0984101295471191,0.000323974268366182
463,0.100188732147217,0.000307000190480926
